[2021-10-15 05:37:34,137] DEBUG  Recall: 0.04718543046357616,coverage: 0.03588774959525094,novelty: 0.440154105424881,unexpectedness: 0.6000000000000001,relevance: 0.2379290609883198
[2021-10-15 05:37:34,137] DEBUG  Finished KNNpopularity, {'k': 1000}
[2021-10-15 05:37:34,164] INFO  Grid search ended: KNNpopularity
[2021-10-15 05:37:34,164] INFO  Saved KNNpopularity as results\unexp_but_i_fix\KNNpopularity.joblib
[2021-10-15 05:37:36,169] INFO  Grid search started: MatrixFactorization
[2021-10-15 05:37:36,905] DEBUG  Started MatrixFactorization, {'n_components': 5, 'random_state': 42}
[2021-10-15 05:40:52,062] DEBUG  Recall: 0.055463576158940396,coverage: 0.17593092282784673,novelty: 0.7432193160057068,unexpectedness: 0.8151490066225165,relevance: 0.2876845175657701
[2021-10-15 05:40:52,062] DEBUG  Finished MatrixFactorization, {'n_components': 5, 'random_state': 42}
[2021-10-15 05:40:52,815] DEBUG  Started MatrixFactorization, {'n_components': 10, 'random_state': 42}
[2021-10-15 05:44:07,937] DEBUG  Recall: 0.07119205298013245,coverage: 0.1894225580140313,novelty: 0.7510954141616821,unexpectedness: 0.8274006622516556,relevance: 0.30464697705078314
[2021-10-15 05:44:07,937] DEBUG  Finished MatrixFactorization, {'n_components': 10, 'random_state': 42}
[2021-10-15 05:44:08,744] DEBUG  Started MatrixFactorization, {'n_components': 20, 'random_state': 42}
[2021-10-15 05:47:24,075] DEBUG  Recall: 0.08609271523178808,coverage: 0.2018348623853211,novelty: 0.7647770047187805,unexpectedness: 0.8377483443708609,relevance: 0.307412550523072
[2021-10-15 05:47:24,075] DEBUG  Finished MatrixFactorization, {'n_components': 20, 'random_state': 42}
[2021-10-15 05:47:25,054] DEBUG  Started MatrixFactorization, {'n_components': 50, 'random_state': 42}
[2021-10-15 05:50:40,463] DEBUG  Recall: 0.0869205298013245,coverage: 0.20696168375607124,novelty: 0.7790922522544861,unexpectedness: 0.8669701986754969,relevance: 0.310026425356974
[2021-10-15 05:50:40,464] DEBUG  Finished MatrixFactorization, {'n_components': 50, 'random_state': 42}
[2021-10-15 05:50:41,882] DEBUG  Started MatrixFactorization, {'n_components': 100, 'random_state': 42}
[2021-10-15 05:53:57,264] DEBUG  Recall: 0.08278145695364239,coverage: 0.20615218564490015,novelty: 0.7898902893066406,unexpectedness: 0.8564569536423841,relevance: 0.3074593974468046
[2021-10-15 05:53:57,264] DEBUG  Finished MatrixFactorization, {'n_components': 100, 'random_state': 42}
[2021-10-15 05:53:59,495] DEBUG  Started MatrixFactorization, {'n_components': 200, 'random_state': 42}
[2021-10-15 05:57:15,378] DEBUG  Recall: 0.08774834437086093,coverage: 0.2085806799784134,novelty: 0.7866077423095703,unexpectedness: 0.8585264900662253,relevance: 0.30460851902843566
[2021-10-15 05:57:15,378] DEBUG  Finished MatrixFactorization, {'n_components': 200, 'random_state': 42}
[2021-10-15 05:57:19,571] DEBUG  Started MatrixFactorization, {'n_components': 500, 'random_state': 42}
[2021-10-15 06:00:35,482] DEBUG  Recall: 0.0869205298013245,coverage: 0.20291419320021586,novelty: 0.7653064131736755,unexpectedness: 0.846771523178808,relevance: 0.30022476169534007
[2021-10-15 06:00:35,483] DEBUG  Finished MatrixFactorization, {'n_components': 500, 'random_state': 42}
[2021-10-15 06:00:43,926] DEBUG  Started MatrixFactorization, {'n_components': 1000, 'random_state': 42}
[2021-10-15 06:04:00,136] DEBUG  Recall: 0.08278145695364239,coverage: 0.19454937938478142,novelty: 0.7612143754959106,unexpectedness: 0.8514072847682119,relevance: 0.2955353777301547
[2021-10-15 06:04:00,137] DEBUG  Finished MatrixFactorization, {'n_components': 1000, 'random_state': 42}
[2021-10-15 06:04:20,745] DEBUG  Started MatrixFactorization, {'n_components': 2000, 'random_state': 42}
[2021-10-15 06:07:37,321] DEBUG  Recall: 0.0836092715231788,coverage: 0.18456556934700485,novelty: 0.7544249296188354,unexpectedness: 0.8485099337748344,relevance: 0.2915858616956836
[2021-10-15 06:07:37,321] DEBUG  Finished MatrixFactorization, {'n_components': 2000, 'random_state': 42}
[2021-10-15 06:07:37,339] INFO  Grid search ended: MatrixFactorization
[2021-10-15 06:07:37,342] INFO  Saved MatrixFactorization as results\unexp_but_i_fix\MatrixFactorization.joblib
