[2021-09-16 03:06:25,975] DEBUG  Started AutoRec, {'hidden_layer_size': 16, 'random_state': 77}
[2021-09-16 03:07:22,053] DEBUG  Recall: 0.018211920529801324, coverage: 0.033189422558014034, serendipity: 0.8221026490066226
[2021-09-16 03:07:22,053] DEBUG  Finished AutoRec, {'hidden_layer_size': 16, 'random_state': 77}
[2021-09-16 03:07:45,228] DEBUG  Started AutoRec, {'hidden_layer_size': 64, 'random_state': 11}
[2021-09-16 03:08:41,377] DEBUG  Recall: 0.024006622516556293, coverage: 0.03184025903939557, serendipity: 0.7441846026490065
[2021-09-16 03:08:41,378] DEBUG  Finished AutoRec, {'hidden_layer_size': 64, 'random_state': 11}
[2021-09-16 03:09:04,115] DEBUG  Started AutoRec, {'hidden_layer_size': 64, 'random_state': 42}
[2021-09-16 03:09:55,858] DEBUG  Recall: 0.019867549668874173, coverage: 0.03291958985429034, serendipity: 0.7424875827814569
[2021-09-16 03:09:55,859] DEBUG  Finished AutoRec, {'hidden_layer_size': 64, 'random_state': 42}
[2021-09-16 03:10:18,529] DEBUG  Started AutoRec, {'hidden_layer_size': 64, 'random_state': 77}
[2021-09-16 03:11:13,309] DEBUG  Recall: 0.028145695364238412, coverage: 0.03426875337290879, serendipity: 0.7415562913907284
[2021-09-16 03:11:13,310] DEBUG  Finished AutoRec, {'hidden_layer_size': 64, 'random_state': 77}
[2021-09-16 03:11:34,258] DEBUG  Started AutoRec, {'hidden_layer_size': 128, 'random_state': 11}
[2021-09-16 03:12:26,404] DEBUG  Recall: 0.022350993377483443, coverage: 0.04937938478143551, serendipity: 0.7430670529801324
[2021-09-16 03:12:26,405] DEBUG  Finished AutoRec, {'hidden_layer_size': 128, 'random_state': 11}
[2021-09-16 03:12:47,912] DEBUG  Started AutoRec, {'hidden_layer_size': 128, 'random_state': 42}
[2021-09-16 03:13:39,149] DEBUG  Recall: 0.022350993377483443, coverage: 0.05531570426335672, serendipity: 0.671978476821192
[2021-09-16 03:13:39,150] DEBUG  Finished AutoRec, {'hidden_layer_size': 128, 'random_state': 42}
[2021-09-16 03:13:58,244] DEBUG  Started AutoRec, {'hidden_layer_size': 128, 'random_state': 77}
[2021-09-16 03:14:53,073] DEBUG  Recall: 0.024834437086092714, coverage: 0.04641122504047491, serendipity: 0.7451158940397352
[2021-09-16 03:14:53,073] DEBUG  Finished AutoRec, {'hidden_layer_size': 128, 'random_state': 77}
[2021-09-16 03:15:19,587] DEBUG  Started AutoRec, {'hidden_layer_size': 192, 'random_state': 11}
[2021-09-16 03:16:11,717] DEBUG  Recall: 0.028973509933774833, coverage: 0.06233135456017269, serendipity: 0.7465645695364238
[2021-09-16 03:16:11,718] DEBUG  Finished AutoRec, {'hidden_layer_size': 192, 'random_state': 11}
[2021-09-16 03:16:35,064] DEBUG  Started AutoRec, {'hidden_layer_size': 192, 'random_state': 42}
[2021-09-16 03:17:28,393] DEBUG  Recall: 0.028145695364238412, coverage: 0.05774419859686994, serendipity: 0.7351200331125829
[2021-09-16 03:17:28,393] DEBUG  Finished AutoRec, {'hidden_layer_size': 192, 'random_state': 42}
[2021-09-16 03:17:52,226] DEBUG  Started AutoRec, {'hidden_layer_size': 192, 'random_state': 77}
[2021-09-16 03:18:47,372] DEBUG  Recall: 0.020695364238410598, coverage: 0.06395035078251485, serendipity: 0.7450538079470199
[2021-09-16 03:18:47,372] DEBUG  Finished AutoRec, {'hidden_layer_size': 192, 'random_state': 77}
[2021-09-16 03:19:12,320] DEBUG  Started AutoRec, {'hidden_layer_size': 256, 'random_state': 11}
[2021-09-16 03:20:05,984] DEBUG  Recall: 0.019867549668874173, coverage: 0.06610901241230437, serendipity: 0.7457988410596026
[2021-09-16 03:20:05,984] DEBUG  Finished AutoRec, {'hidden_layer_size': 256, 'random_state': 11}
[2021-09-16 03:20:33,369] DEBUG  Started AutoRec, {'hidden_layer_size': 256, 'random_state': 42}
[2021-09-16 03:21:28,226] DEBUG  Recall: 0.02566225165562914, coverage: 0.0652995143011333, serendipity: 0.7456332781456954
[2021-09-16 03:21:28,226] DEBUG  Finished AutoRec, {'hidden_layer_size': 256, 'random_state': 42}
[2021-09-16 03:21:55,670] DEBUG  Started AutoRec, {'hidden_layer_size': 256, 'random_state': 77}
[2021-09-16 03:22:50,328] DEBUG  Recall: 0.020695364238410598, coverage: 0.07285483000539665, serendipity: 0.7481788079470199
[2021-09-16 03:22:50,328] DEBUG  Finished AutoRec, {'hidden_layer_size': 256, 'random_state': 77}
[2021-09-16 03:23:23,741] DEBUG  Started AutoRec, {'hidden_layer_size': 384, 'random_state': 11}
[2021-09-16 03:24:19,665] DEBUG  Recall: 0.024834437086092714, coverage: 0.06718834322719913, serendipity: 0.748841059602649
[2021-09-16 03:24:19,666] DEBUG  Finished AutoRec, {'hidden_layer_size': 384, 'random_state': 11}
[2021-09-16 03:24:57,137] DEBUG  Started AutoRec, {'hidden_layer_size': 384, 'random_state': 42}
[2021-09-16 03:25:48,392] DEBUG  Recall: 0.027317880794701987, coverage: 0.06880733944954129, serendipity: 0.7556084437086092
[2021-09-16 03:25:48,392] DEBUG  Finished AutoRec, {'hidden_layer_size': 384, 'random_state': 42}
[2021-09-16 03:26:17,394] DEBUG  Started AutoRec, {'hidden_layer_size': 384, 'random_state': 77}
[2021-09-16 03:27:10,028] DEBUG  Recall: 0.019867549668874173, coverage: 0.0652995143011333, serendipity: 0.7484478476821192
[2021-09-16 03:27:10,029] DEBUG  Finished AutoRec, {'hidden_layer_size': 384, 'random_state': 77}
[2021-09-16 03:27:31,536] DEBUG  Started AutoRec, {'hidden_layer_size': 512, 'random_state': 11}
[2021-09-16 03:28:26,289] DEBUG  Recall: 0.02152317880794702, coverage: 0.013491635186184566, serendipity: 0.7909975165562915
[2021-09-16 03:28:26,289] DEBUG  Finished AutoRec, {'hidden_layer_size': 512, 'random_state': 11}
[2021-09-16 03:28:50,272] DEBUG  Started AutoRec, {'hidden_layer_size': 512, 'random_state': 42}
[2021-09-16 03:29:43,653] DEBUG  Recall: 0.020695364238410598, coverage: 0.024015110631408525, serendipity: 0.7645695364238411
[2021-09-16 03:29:43,653] DEBUG  Finished AutoRec, {'hidden_layer_size': 512, 'random_state': 42}
[2021-09-16 03:30:07,227] DEBUG  Started AutoRec, {'hidden_layer_size': 512, 'random_state': 77}
[2021-09-16 03:31:02,101] DEBUG  Recall: 0.01903973509933775, coverage: 0.019427954668105773, serendipity: 0.7674254966887417
[2021-09-16 03:31:02,102] DEBUG  Finished AutoRec, {'hidden_layer_size': 512, 'random_state': 77}
[2021-09-16 03:31:45,890] DEBUG  Started AutoRec, {'hidden_layer_size': 768, 'random_state': 11}
[2021-09-16 03:32:40,275] DEBUG  Recall: 0.024006622516556293, coverage: 0.04128440366972477, serendipity: 0.7490894039735099
[2021-09-16 03:32:40,275] DEBUG  Finished AutoRec, {'hidden_layer_size': 768, 'random_state': 11}
[2021-09-16 03:32:56,970] DEBUG  Started AutoRec, {'hidden_layer_size': 768, 'random_state': 42}
[2021-09-16 03:33:52,363] DEBUG  Recall: 0.01903973509933775, coverage: 0.0059363194819212085, serendipity: 0.8244412251655628
[2021-09-16 03:33:52,364] DEBUG  Finished AutoRec, {'hidden_layer_size': 768, 'random_state': 42}
[2021-09-16 03:34:07,975] DEBUG  Started AutoRec, {'hidden_layer_size': 768, 'random_state': 77}
[2021-09-16 03:35:02,477] DEBUG  Recall: 0.01903973509933775, coverage: 0.007015650296815974, serendipity: 0.8307326158940397
[2021-09-16 03:35:02,477] DEBUG  Finished AutoRec, {'hidden_layer_size': 768, 'random_state': 77}
[2021-09-16 03:35:19,273] DEBUG  Started AutoRec, {'hidden_layer_size': 1024, 'random_state': 11}
[2021-09-16 03:36:16,411] DEBUG  Recall: 0.023178807947019868, coverage: 0.006745817593092283, serendipity: 0.8266556291390728
[2021-09-16 03:36:16,412] DEBUG  Finished AutoRec, {'hidden_layer_size': 1024, 'random_state': 11}
[2021-09-16 03:37:07,547] DEBUG  Started AutoRec, {'hidden_layer_size': 1024, 'random_state': 42}
[2021-09-16 03:38:03,065] DEBUG  Recall: 0.029801324503311258, coverage: 0.04533189422558014, serendipity: 0.7471233443708609
[2021-09-16 03:38:03,065] DEBUG  Finished AutoRec, {'hidden_layer_size': 1024, 'random_state': 42}
[2021-09-16 03:38:18,978] DEBUG  Started AutoRec, {'hidden_layer_size': 1024, 'random_state': 77}
[2021-09-16 03:39:13,871] DEBUG  Recall: 0.02152317880794702, coverage: 0.005396654074473826, serendipity: 0.83346440397351
[2021-09-16 03:39:13,871] DEBUG  Finished AutoRec, {'hidden_layer_size': 1024, 'random_state': 77}
