[2021-10-13 00:54:01,639] DEBUG  Started AutoRec, {'hidden_layer_size': 512, 'random_state': 11}
[2021-10-13 00:54:48,913] DEBUG  Recall: 0.02152317880794702,coverage: 0.013491635186184566,novelty: 0.4952503740787506,unexpectedness: 0.4935430463576158,relevance: 0.28843694742130455
[2021-10-13 00:54:48,913] DEBUG  Finished AutoRec, {'hidden_layer_size': 512, 'random_state': 11}
[2021-10-13 00:54:59,628] DEBUG  Started AutoRec, {'hidden_layer_size': 512, 'random_state': 42}
[2021-10-13 00:55:45,011] DEBUG  Recall: 0.020695364238410598,coverage: 0.024015110631408525,novelty: 0.5749712586402893,unexpectedness: 0.39983443708609273,relevance: 0.2986522850497932
[2021-10-13 00:55:45,011] DEBUG  Finished AutoRec, {'hidden_layer_size': 512, 'random_state': 42}
[2021-10-13 00:55:55,899] DEBUG  Started AutoRec, {'hidden_layer_size': 512, 'random_state': 77}
[2021-10-13 00:56:41,228] DEBUG  Recall: 0.01903973509933775,coverage: 0.019697787371829464,novelty: 0.5499730110168457,unexpectedness: 0.43915562913907286,relevance: 0.29266573174063837
[2021-10-13 00:56:41,229] DEBUG  Finished AutoRec, {'hidden_layer_size': 512, 'random_state': 77}
[2021-10-13 00:56:57,483] DEBUG  Started AutoRec, {'hidden_layer_size': 768, 'random_state': 11}
[2021-10-13 00:57:42,848] DEBUG  Recall: 0.024006622516556293,coverage: 0.04101457096600108,novelty: 0.6592432260513306,unexpectedness: 0.32450331125827814,relevance: 0.32136924222014446
[2021-10-13 00:57:42,849] DEBUG  Finished AutoRec, {'hidden_layer_size': 768, 'random_state': 11}
[2021-10-13 00:57:51,519] DEBUG  Started AutoRec, {'hidden_layer_size': 768, 'random_state': 42}
[2021-10-13 00:58:36,765] DEBUG  Recall: 0.018211920529801324,coverage: 0.0059363194819212085,novelty: 0.32365670800209045,unexpectedness: 0.6017384105960265,relevance: 0.2574010262583727
[2021-10-13 00:58:36,765] DEBUG  Finished AutoRec, {'hidden_layer_size': 768, 'random_state': 42}
[2021-10-13 00:58:45,267] DEBUG  Started AutoRec, {'hidden_layer_size': 768, 'random_state': 77}
[2021-10-13 00:59:31,291] DEBUG  Recall: 0.01903973509933775,coverage: 0.007015650296815974,novelty: 0.3110855519771576,unexpectedness: 0.5689569536423842,relevance: 0.2578372939136201
[2021-10-13 00:59:31,292] DEBUG  Finished AutoRec, {'hidden_layer_size': 768, 'random_state': 77}
[2021-10-13 00:59:39,956] DEBUG  Started AutoRec, {'hidden_layer_size': 1024, 'random_state': 11}
[2021-10-13 01:00:25,489] DEBUG  Recall: 0.023178807947019868,coverage: 0.006745817593092283,novelty: 0.28894609212875366,unexpectedness: 0.5456953642384106,relevance: 0.2548941344545969
[2021-10-13 01:00:25,491] DEBUG  Finished AutoRec, {'hidden_layer_size': 1024, 'random_state': 11}
[2021-10-13 01:00:43,521] DEBUG  Started AutoRec, {'hidden_layer_size': 1024, 'random_state': 42}
[2021-10-13 01:01:29,089] DEBUG  Recall: 0.028973509933774833,coverage: 0.04560172692930383,novelty: 0.6986451745033264,unexpectedness: 0.338658940397351,relevance: 0.3269525019086542
[2021-10-13 01:01:29,089] DEBUG  Finished AutoRec, {'hidden_layer_size': 1024, 'random_state': 42}
[2021-10-13 01:01:37,655] DEBUG  Started AutoRec, {'hidden_layer_size': 1024, 'random_state': 77}
[2021-10-13 01:02:23,496] DEBUG  Recall: 0.02152317880794702,coverage: 0.005396654074473826,novelty: 0.2790399491786957,unexpectedness: 0.5350165562913907,relevance: 0.25589511916053137
[2021-10-13 01:02:23,496] DEBUG  Finished AutoRec, {'hidden_layer_size': 1024, 'random_state': 77}
[2021-10-13 01:02:32,305] DEBUG  Started AutoRec, {'hidden_layer_size': 1536, 'random_state': 11}
[2021-10-13 01:03:17,870] DEBUG  Recall: 0.023178807947019868,coverage: 0.0059363194819212085,novelty: 0.28566765785217285,unexpectedness: 0.2629139072847682,relevance: 0.2518662770970214
[2021-10-13 01:03:17,870] DEBUG  Finished AutoRec, {'hidden_layer_size': 1536, 'random_state': 11}
[2021-10-13 01:03:26,710] DEBUG  Started AutoRec, {'hidden_layer_size': 1536, 'random_state': 42}
[2021-10-13 01:04:12,428] DEBUG  Recall: 0.018211920529801324,coverage: 0.005666486778197518,novelty: 0.3132937550544739,unexpectedness: 0.2776490066225165,relevance: 0.2537865385670403
[2021-10-13 01:04:12,428] DEBUG  Finished AutoRec, {'hidden_layer_size': 1536, 'random_state': 42}
[2021-10-13 01:04:29,057] DEBUG  Started AutoRec, {'hidden_layer_size': 1536, 'random_state': 77}
[2021-10-13 01:05:14,628] DEBUG  Recall: 0.026490066225165563,coverage: 0.04398273070696168,novelty: 0.696376383304596,unexpectedness: 0.5769039735099337,relevance: 0.3282082028584757
[2021-10-13 01:05:14,628] DEBUG  Finished AutoRec, {'hidden_layer_size': 1536, 'random_state': 77}
[2021-10-13 01:05:30,338] DEBUG  Started AutoRec, {'hidden_layer_size': 2048, 'random_state': 11}
[2021-10-13 01:06:15,919] DEBUG  Recall: 0.02152317880794702,coverage: 0.03912574203993524,novelty: 0.6704220771789551,unexpectedness: 0.5462748344370861,relevance: 0.3181219568712114
[2021-10-13 01:06:15,920] DEBUG  Finished AutoRec, {'hidden_layer_size': 2048, 'random_state': 11}
[2021-10-13 01:06:24,811] DEBUG  Started AutoRec, {'hidden_layer_size': 2048, 'random_state': 42}
[2021-10-13 01:07:10,314] DEBUG  Recall: 0.019867549668874173,coverage: 0.005396654074473826,novelty: 0.27542778849601746,unexpectedness: 0.26415562913907287,relevance: 0.25962973519272087
[2021-10-13 01:07:10,315] DEBUG  Finished AutoRec, {'hidden_layer_size': 2048, 'random_state': 42}
[2021-10-13 01:07:28,722] DEBUG  Started AutoRec, {'hidden_layer_size': 2048, 'random_state': 77}
[2021-10-13 01:08:14,127] DEBUG  Recall: 0.02566225165562914,coverage: 0.04641122504047491,novelty: 0.6459465026855469,unexpectedness: 0.5781456953642384,relevance: 0.33125614782475915
[2021-10-13 01:08:14,128] DEBUG  Finished AutoRec, {'hidden_layer_size': 2048, 'random_state': 77}
[2021-10-13 01:08:14,144] INFO  Grid search ended: AutoRec
[2021-10-13 01:08:14,144] INFO  Saved AutoRec as results\gs_unexp_but_i\AutoRec.joblib
[2021-10-13 01:08:18,606] INFO  Grid search started: KNNpopularity
[2021-10-13 01:08:18,889] DEBUG  Started KNNpopularity, {'k': 5}
