[2021-10-19 00:12:48,790] DEBUG  Finished AutoRec, {'hidden_layer_size': 128, 'random_state': 42}
[2021-10-19 00:13:00,633] DEBUG  Started AutoRec, {'hidden_layer_size': 128, 'random_state': 77}
[2021-10-19 00:13:57,785] DEBUG  Recall: 0.024006622516556293,coverage: 0.0466810577441986,novelty: 0.6579630970954895,unexpectedness: 0.009685430463576158,relevance: 0.3309514278884019
[2021-10-19 00:13:57,785] DEBUG  Finished AutoRec, {'hidden_layer_size': 128, 'random_state': 77}
[2021-10-19 00:14:13,360] DEBUG  Started AutoRec, {'hidden_layer_size': 192, 'random_state': 11}
[2021-10-19 00:15:11,652] DEBUG  Recall: 0.028973509933774833,coverage: 0.06233135456017269,novelty: 0.7113065719604492,unexpectedness: 0.011092715231788078,relevance: 0.3416670605438651
[2021-10-19 00:15:11,653] DEBUG  Finished AutoRec, {'hidden_layer_size': 192, 'random_state': 11}
[2021-10-19 00:15:25,761] DEBUG  Started AutoRec, {'hidden_layer_size': 192, 'random_state': 42}
[2021-10-19 00:16:23,970] DEBUG  Recall: 0.028145695364238412,coverage: 0.058014031300593634,novelty: 0.6906732320785522,unexpectedness: 0.0074503311258278145,relevance: 0.3376097330772259
[2021-10-19 00:16:23,971] DEBUG  Finished AutoRec, {'hidden_layer_size': 192, 'random_state': 42}
[2021-10-19 00:16:38,578] DEBUG  Started AutoRec, {'hidden_layer_size': 192, 'random_state': 77}
[2021-10-19 00:17:34,483] DEBUG  Recall: 0.020695364238410598,coverage: 0.06395035078251485,novelty: 0.7143620252609253,unexpectedness: 0.010927152317880795,relevance: 0.3421020703862126
[2021-10-19 00:17:34,483] DEBUG  Finished AutoRec, {'hidden_layer_size': 192, 'random_state': 77}
[2021-10-19 00:17:50,021] DEBUG  Started AutoRec, {'hidden_layer_size': 256, 'random_state': 11}
[2021-10-19 00:18:45,710] DEBUG  Recall: 0.019867549668874173,coverage: 0.06583917970858068,novelty: 0.7159263491630554,unexpectedness: 0.013824503311258278,relevance: 0.34295952115351697
[2021-10-19 00:18:45,710] DEBUG  Finished AutoRec, {'hidden_layer_size': 256, 'random_state': 11}
[2021-10-19 00:19:01,113] DEBUG  Started AutoRec, {'hidden_layer_size': 256, 'random_state': 42}
[2021-10-19 00:20:01,770] DEBUG  Recall: 0.024834437086092714,coverage: 0.0652995143011333,novelty: 0.7201144099235535,unexpectedness: 0.012086092715231788,relevance: 0.34547873083378183
[2021-10-19 00:20:01,770] DEBUG  Finished AutoRec, {'hidden_layer_size': 256, 'random_state': 42}
[2021-10-19 00:20:15,698] DEBUG  Started AutoRec, {'hidden_layer_size': 256, 'random_state': 77}
[2021-10-19 00:21:12,279] DEBUG  Recall: 0.02152317880794702,coverage: 0.07177549919050188,novelty: 0.7196015119552612,unexpectedness: 0.01216887417218543,relevance: 0.3438116265614007
[2021-10-19 00:21:12,279] DEBUG  Finished AutoRec, {'hidden_layer_size': 256, 'random_state': 77}
[2021-10-19 00:21:29,061] DEBUG  Started AutoRec, {'hidden_layer_size': 384, 'random_state': 11}
