[2021-09-16 01:49:43,995] DEBUG  Started AutoRec, {'hidden_layer_size': 4, 'random_state': 11}
[2021-09-16 01:50:16,044] DEBUG  Recall: 0.015728476821192054, coverage: 0.03211009174311927, serendipity: 0.6347019867549669
[2021-09-16 01:50:16,044] DEBUG  Finished AutoRec, {'hidden_layer_size': 4, 'random_state': 11}
[2021-09-16 01:50:24,041] DEBUG  Started AutoRec, {'hidden_layer_size': 4, 'random_state': 42}
[2021-09-16 01:50:55,398] DEBUG  Recall: 0.018211920529801324, coverage: 0.026173772261198058, serendipity: 0.6348427152317881
[2021-09-16 01:50:55,398] DEBUG  Finished AutoRec, {'hidden_layer_size': 4, 'random_state': 42}
[2021-09-16 01:51:05,594] DEBUG  Started AutoRec, {'hidden_layer_size': 4, 'random_state': 77}
[2021-09-16 01:51:37,263] DEBUG  Recall: 0.01903973509933775, coverage: 0.008094981111710739, serendipity: 0.6316721854304636
[2021-09-16 01:51:37,263] DEBUG  Finished AutoRec, {'hidden_layer_size': 4, 'random_state': 77}
[2021-09-16 01:51:46,313] DEBUG  Started AutoRec, {'hidden_layer_size': 8, 'random_state': 11}
[2021-09-16 01:52:18,245] DEBUG  Recall: 0.020695364238410598, coverage: 0.019158121964382085, serendipity: 0.631274834437086
[2021-09-16 01:52:18,246] DEBUG  Finished AutoRec, {'hidden_layer_size': 8, 'random_state': 11}
[2021-09-16 01:52:32,212] DEBUG  Started AutoRec, {'hidden_layer_size': 8, 'random_state': 42}
[2021-09-16 01:53:04,415] DEBUG  Recall: 0.020695364238410598, coverage: 0.005666486778197518, serendipity: 0.6297682119205298
[2021-09-16 01:53:04,415] DEBUG  Finished AutoRec, {'hidden_layer_size': 8, 'random_state': 42}
[2021-09-16 01:53:17,241] DEBUG  Started AutoRec, {'hidden_layer_size': 8, 'random_state': 77}
[2021-09-16 01:53:48,229] DEBUG  Recall: 0.022350993377483443, coverage: 0.005126821370750135, serendipity: 0.6307698675496689
[2021-09-16 01:53:48,229] DEBUG  Finished AutoRec, {'hidden_layer_size': 8, 'random_state': 77}
[2021-09-16 01:53:57,207] DEBUG  Started AutoRec, {'hidden_layer_size': 16, 'random_state': 11}
[2021-09-16 01:54:29,161] DEBUG  Recall: 0.018211920529801324, coverage: 0.04479222881813276, serendipity: 0.6295612582781457
[2021-09-16 01:54:29,161] DEBUG  Finished AutoRec, {'hidden_layer_size': 16, 'random_state': 11}
[2021-09-16 01:54:36,689] DEBUG  Started AutoRec, {'hidden_layer_size': 16, 'random_state': 42}
[2021-09-16 01:55:07,991] DEBUG  Recall: 0.019867549668874173, coverage: 0.042093901780895844, serendipity: 0.6309271523178809
[2021-09-16 01:55:07,991] DEBUG  Finished AutoRec, {'hidden_layer_size': 16, 'random_state': 42}
[2021-09-16 01:55:17,003] DEBUG  Started AutoRec, {'hidden_layer_size': 16, 'random_state': 77}
[2021-09-16 01:55:48,829] DEBUG  Recall: 0.018211920529801324, coverage: 0.033189422558014034, serendipity: 0.628841059602649
[2021-09-16 01:55:48,829] DEBUG  Finished AutoRec, {'hidden_layer_size': 16, 'random_state': 77}
[2021-09-16 01:56:05,318] DEBUG  Started AutoRec, {'hidden_layer_size': 64, 'random_state': 11}
[2021-09-16 01:56:37,665] DEBUG  Recall: 0.024006622516556293, coverage: 0.03184025903939557, serendipity: 0.5977152317880794
