[2021-09-16 02:36:13,167] DEBUG  Finished MatrixFactorization, {'n_components': 500, 'random_state': 42}
[2021-09-16 02:36:22,014] DEBUG  Started MatrixFactorization, {'n_components': 1000, 'random_state': 42}
[2021-09-16 02:42:54,950] DEBUG  Recall: 0.016556291390728478, coverage: 0.17674042093901782, serendipity: 0.2991551325017812
[2021-09-16 02:42:54,950] DEBUG  Finished MatrixFactorization, {'n_components': 1000, 'random_state': 42}
[2021-09-16 02:42:54,951] INFO  Grid search ended: MatrixFactorization
[2021-09-16 02:42:54,952] INFO  Saved MatrixFactorization as ./MatrixFactorization.joblib
[2021-09-16 02:42:54,953] INFO  Grid search started: AutoRec
[2021-09-16 02:43:03,030] DEBUG  Started AutoRec, {'hidden_layer_size': 4, 'random_state': 11}
[2021-09-16 02:43:34,544] DEBUG  Recall: 0.015728476821192054, coverage: 0.03211009174311927, serendipity: 0.2503074516819883
[2021-09-16 02:43:34,544] DEBUG  Finished AutoRec, {'hidden_layer_size': 4, 'random_state': 11}
[2021-09-16 02:43:42,681] DEBUG  Started AutoRec, {'hidden_layer_size': 4, 'random_state': 42}
[2021-09-16 02:44:14,230] DEBUG  Recall: 0.018211920529801324, coverage: 0.026173772261198058, serendipity: 0.25265426998293034
[2021-09-16 02:44:14,230] DEBUG  Finished AutoRec, {'hidden_layer_size': 4, 'random_state': 42}
[2021-09-16 02:44:24,188] DEBUG  Started AutoRec, {'hidden_layer_size': 4, 'random_state': 77}
[2021-09-16 02:44:55,173] DEBUG  Recall: 0.01903973509933775, coverage: 0.008094981111710739, serendipity: 0.2490012271521641
[2021-09-16 02:44:55,174] DEBUG  Finished AutoRec, {'hidden_layer_size': 4, 'random_state': 77}
[2021-09-16 02:45:04,181] DEBUG  Started AutoRec, {'hidden_layer_size': 8, 'random_state': 11}
[2021-09-16 02:45:35,929] DEBUG  Recall: 0.020695364238410598, coverage: 0.019158121964382085, serendipity: 0.2520390428541551
[2021-09-16 02:45:35,929] DEBUG  Finished AutoRec, {'hidden_layer_size': 8, 'random_state': 11}
[2021-09-16 02:45:49,662] DEBUG  Started AutoRec, {'hidden_layer_size': 8, 'random_state': 42}
[2021-09-16 02:46:21,275] DEBUG  Recall: 0.020695364238410598, coverage: 0.005666486778197518, serendipity: 0.25748162358981036
[2021-09-16 02:46:21,275] DEBUG  Finished AutoRec, {'hidden_layer_size': 8, 'random_state': 42}
[2021-09-16 02:46:34,051] DEBUG  Started AutoRec, {'hidden_layer_size': 8, 'random_state': 77}
[2021-09-16 02:47:05,336] DEBUG  Recall: 0.022350993377483443, coverage: 0.005126821370750135, serendipity: 0.2564443453140679
[2021-09-16 02:47:05,336] DEBUG  Finished AutoRec, {'hidden_layer_size': 8, 'random_state': 77}
[2021-09-16 02:47:14,442] DEBUG  Started AutoRec, {'hidden_layer_size': 16, 'random_state': 11}
[2021-09-16 02:47:46,080] DEBUG  Recall: 0.018211920529801324, coverage: 0.04479222881813276, serendipity: 0.26122813154575913
[2021-09-16 02:47:46,080] DEBUG  Finished AutoRec, {'hidden_layer_size': 16, 'random_state': 11}
[2021-09-16 02:47:53,516] DEBUG  Started AutoRec, {'hidden_layer_size': 16, 'random_state': 42}
[2021-09-16 02:48:25,133] DEBUG  Recall: 0.019867549668874173, coverage: 0.042093901780895844, serendipity: 0.2573335403401339
[2021-09-16 02:48:25,134] DEBUG  Finished AutoRec, {'hidden_layer_size': 16, 'random_state': 42}
